category,city,fax,phonenumber_three,province,description,url,phonenumber_four,website,subcategory_two,subcategory_three,subcategory_one,address_two,lead_source,phonenumber_five,phonenumber_two,company_name,address,keywords,email_address,phonenumber_one
pink wax dealer,,,,,all dental waxes we offer *hi-heat pink was 25 pcs/sheet 150pesos negotiable *local pink wax only 2.75 per pcs still neg. *us hi-heat pink was 1kilo/350pesos still negotiable *lokal bite wax 3.30 per.pcs neg ands more waxes we offer  tnx  reach me in my c.p. number#09498974923  V.P./OWNER;;;Oliver Castillo ,,,www.prostech.weebley.com,,,,,,,,PROSTECH DENTAL WAX,BAMBANG f.victorino ST. f victorinoCITY OF PASIG Metro Manila,,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=fQ_0_jI4THIok8CtF-KZM1x0w_zLsiFU0cNgJuHYgkuyct0lbgq87MC1ond7YH_I http://www.prostech.weebley.com,02 579 9321
Information and Communications Technology,,,,,"Global Call International, Inc. is an affiliate of Micronetics International, Inc. Micronetics is a five-year-old company whose management has over one hundred collective years of professional experience in telecoms and computer systems. Global Call International was formed in response to the need for cost-effective and feature-rich call center solutions here in the Philippines. GCI has been tapped to be the exclusive distributor of Parsec Technologies call center software in the Philippines. ",,,www.globequest.com.ph,,,,,,,,GLOBAL CALL INTERNATIONAL INC.,Ground Floor Midland Bldg. 403 Buendia AvenueMakati City Metro Manila,,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=sM2P-5NfDdk2P4OxnKc-CYVIFQWjOnn93N6IwicbiCY= http://www.globequest.com.ph,(632) 757-8378
Automatic Teller Machines,,,,,"This BPI Express Teller ATM is located at BANK OF THE PHILIPPINE ISLANDS Bldg.  150 E. Rodriguez Ave.  Bagong Bayan   , QUEZON C ITY, METRO MANILA. Access your cash easily with BPI's 1,700 Automated Teller Machines (ATM) strategically located nationwide. With the BPI Express Teller ATM facility available 24 hours a day, 7 days a week, you now have instant access to your cash for your various needs.  The BPI Express Teller ATM is more than just for withdrawals. It  also provides you with unparalleled banking services to match your active lifestyle, allowing you to do the following:  - Inquire your Account Balance anytime, anywhere - Transfer funds to and from another enrolled Express Teller Account - Pay your bills to over 170 partner merchants, utilities and establishments - Deposit cash to another Express teller account - Provide Special Services facility that includes: - Globe, Touch Mobile Prepaid reloading - Express Online and Express Mobile enrollments activation - PIN change  With our full service ATMs, you are on top of your finances. ",,,www.bpiexpressonline.com,,,,,,,,Bank of the Philippine Islands Express Teller ATM,BANK OF THE PHILIPPINE ISLANDS Bldg. 150 E. Rodriguez Ave. Bagong BayanQUEZON C ITY METRO MANILA,,http://www.bpiexpressonline.com,
Retailer,,,,,"AIRAJAMES PHARMACY & GENERAL MERCHANDISE is a Retailer business in Bacoor,Cavite ",,,,,,,,,,,AIRAJAMES PHARMACY & GENERAL MERCHANDISE,143 BUROL MOLINO IBacoor Cavite,,,0912-5003434   0912-5003434
Industrial Services and Equipment,,,,,"Crown Asia Compounders Corp. is a Industrial Services and Equipment located in  Km. 33, McArthur H'way, Bo. Tuktukan, Guiguinto, Bulacan ",,,,,,,,,,,Crown Asia Compounders Corp.,"Km. 33, McArthur H'way, Bo. Tuktukan, Guiguinto, Bulacan",,,(02) 412-0639
Advertising And Media,,,,,"LCJ Marketing & Management, Inc. is a  Advertising And Media business located in Kamias Road, Quezon City Metro Manila. For more information you can contact them at: +63 2 433 0220 ",,,,,,,,,,,"LCJ Marketing & Management, Inc.",Kamias RoadQuezon City Metro Manila,,,+63 2 433 0220
Eatery - Fastfood Center,,,,,"MR. SHOO-LEE'S is a Eatery - Fastfood Center business in MARIKINA,METRO MANILA ",,,,,,,,,,,MR. SHOO-LEE'S,A. BONIFACIO AVE. RIVERBANKS MALL.MARIKINA METRO MANILA,,,
,,,,,,,,,,,,,,,,,,,,
IMPORTER,,,,,"SHAOXING CHANGFENG NEW THERMAL INSULATION MTL LTD CO is a IMPORTER business in MANILA,METRO MANILA ",,,,,,,,,,,SHAOXING CHANGFENG NEW THERMAL INSULATION MTL LTD CO,"1160 TAYUMAN ST, BGY 234, ZONE 022 TONDO, MANILA",,,
Manufacturer,,,,,"Malonzo Skills Enterprises The manufacturer of Inventors Quality Products. Started from the Multiawarded Pressure Cooker to a Herbal Company. We also Manuafacture other Invention : Cremation Equipment, Thermal Coating Insulation, Garbage Cabinet, Cashew Oil, Kalamansi Oil and other invention. ",,,,,,,,,,,Malonzo Skills Enterprises,No. 16 Quirino Highway Pangarap Caloocan City 00 632 3836719CALOOCAN CITY Metro Manila,,,00 632 3836719
Contractor,,,,,"R. L. REJUSO CONSTRUCTION is a single proprietorship company engaged in General Building of Construction  or parts, Specialized expertise in the field of Exterior Wall Insulation & Finish System (EIFS). We primarily work with residential projects but are able to tackle Commercial jobs as well. ",,,https://www.facebook.com/r-l-rejuso-construction-652492691546124/?ref=hl,,,,,,,,R. L. REJUSO Construction,"Blk 33, Lot 15 Mojacar St.,tierra Nova Royale Iii Barangay 171Caloocan METRO MANILA",,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=jJznBEmQX8TZgsHzL0ZHRjGIuVcFDNM4dLDtcY_XWwk= http://https://www.facebook.com/r-l-rejuso-construction-652492691546124/?ref=hl,(02) 938 2437
,,,,,"wiring harness, PVC electical insulation tapes, battery cable, ignition cord sets ",,,,,,,,,,,"YAZAKI-TORRES MANUFACTURING, INC.","Brgy. Makiling, Calamba LagunaManila Metro Manila",,http://mailhide.recaptcha.net/d?k=01NLSjS7aEQYA6hW-ze4Bsnw==&c=1mgxEBGEF95mxeipebjGjwnHPEjLLzSN_QD8j_rRhOw=,(049) 502-1530
